Date,Opponent,Type,Location,Result / Time
Sep 4,@ York Varsity 1,Tournament,Seven Bridges Ice Arena - NHL Rink,2 - 1 (W)
Sep 5,vs. Plainfield Varsity,Tournament,Seven Bridges Ice Arena - Olympic Rink,6 - 4 (W)
Sep 6,@ Providence Varsity,Tournament,Seven Bridges Ice Arena - NHL Rink,7 - 2 (W)
Sep 6,vs. Deerfield,Tournament,Seven Bridges Ice Arena,5 - 0 (W)
Sep 7,vs. Glenbrook North,Tournament,Seven Bridges Ice Arena,5 - 2 (W)
Sep 7,vs. GBS,Tournament,Seven Bridges Ice Arena,3 - 1 (W)
Sep 12,vs. Hinsdale Varsity,Practice,NSIA Main,5 - 1 (W)
Sep 14,vs. St. Ignatius Varsity 1,,NSIA Main,3 - 1 (W)
Sep 20,vs. Glenbrook North Varsity 1,League,Winnetka Main,10 - 5 (W)
Sep 29,@ Lake Forest Varsity 1,League,Lake Forest College,1 - 3 (L)
Oct 8,vs. Lake Forest Varsity 1,League,Winnetka,2 - 4 (L)
Oct 9,vs. St. Ignatius Varsity 1,League,NSIA Main,5 - 2 (W)
Oct 11,@ Stevenson Varsity 1,League,Twin Rinks Ice Pavilion - Blue Rink,6 - 0 (W)
Oct 12,@ St. Viator Varsity 1,League,Mt. Prospect Ice Arena - North Rink,3 - 1 (W)
Oct 17,@ Compuware AAA,Tournament,Farmington Hills Ice Arena,1:00 PM ET
Oct 17,vs. Queen City Royals 18UAAA,Tournament,Farmington Hills Ice Arena,7:20 PM ET
Oct 18,@ MHA Red 18U,Tournament,Suburban Ice-Farmington Hills,12:40 PM ET
Oct 19,@ Motown Tournament,Tournament,TBD,
Oct 19,@ Queens City Royals U18AAA,Tournament,Farmington Hills Ice Arena,7:50 AM ET
Oct 24,@ York Varsity 1,League,Addison Ice Arena,7:10 PM
Oct 26,vs. Carmel Varsity,League,NSIA Main,5:30 PM
Oct 29,@ Glenbrook North Varsity 1,League,Northbrook Sports Center - B Rink,7:20 PM
Oct 30,vs. Loyola Gold,League,Centennial Ice Rink - Wilmette,8:40 PM
Nov 1,@ St. Ignatius Varsity 1,League,Fifth Third Arena - Chicago Blackhawks Community Ice Rink,6:50 PM
Nov 2,vs. Glenbrook South Varsity 1,League,NSIA Main,5:30 PM
Nov 9,vs. St. Viator Varsity 1,League,North Shore Ice Arena,5:30 PM
Nov 12,vs. Stevenson Varsity 1,League,Centennial-WIL,9:10 PM
Nov 15,@ Carmel Varsity,League,Glacier Ice Arena - South Rink,1:50 PM
Nov 16,vs. Fenwick Varsity,,NSIA Main,5:30 PM
Nov 19,@ Glenbrook North Varsity 1,League,Northbrook Sports Center - B Rink,7:20 PM
Nov 21,@ SHL Showcase,Tournament,TBD,
Nov 22,@ SHL Showcase,Tournament,TBD,
Nov 23,@ SHL Showcase,Tournament,TBD,
Dec 3,@ Glenbrook South Varsity 2,League,Glenview Community Ice Center - A Rink,7:10 PM
Dec 6,@ Fenwick Varsity,,Edge on John Ice Arena,4:10 PM
Dec 7,vs. York Varsity 1,League,NSIA Main,5:30 PM
Dec 11,vs. Loyola Varsity Gold,League,NSIA Main,7:20 PM
Dec 13,@ Stevenson Varsity 1,League,Twin Rinks Ice Pavilion - Blue Rink,6:30 PM
Dec 14,@ St. Viator Varsity 1,League,Mt Prospect Ice Arena - North Rink,7:00 PM
Jan 7,@ Glenbrook South Varsity 1,,Glenview Community Ice Center - A Rink,7:10 PM
Jan 11,vs. Carmel Varsity,League,NSIA Main,5:30 PM
Jan 23,@ York Varsity 1,League,Addison Ice Arena,7:10 PM
Jan 25,@ Loyola Gold,League,American Heartland Ice Arena,4:10 PM
Jan 30,vs. Lake Forest Varsity 1,League,NSIA Main,7:05 PM
